MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1739692531954,2,-10.045,-0.5292,1.6954,0.2318,0.9386,-2.071,-126.0,-126.0,-141.0,0.0,0.0,0.0,16247972.965653453,0.0,138.21548399174821,89.73476560881518,360,10.200806772015632
1739692532098,2,-10.0352,-0.5194,1.6758,-1.1704,-3.762,0.0266,-127.0,-127.0,-139.0,38.26078666666667,140.85388666666665,0.0,16247972.965653453,0.0,137.13691085375726,89.73476560881518,-400.0,10.187409927945374
1739692532218,2,-5.9681999999999995,0.20579999999999998,2.352,-99.0394,14.0524,25.1788,-130.0,-130.0,-139.0,38.26078666666667,140.85388666666665,0.0,17.078765479608894,0.0,136.91624437249638,90.05760757110463,-400.0,6.418229419395975
1739692532297,2,-2.3226,-0.34299999999999997,1.9893999999999998,-118.142,38.2318,30.2138,-122.0,-122.0,-140.0,38.26078666666667,140.85388666666665,0.0,17.078765479608894,0.0,137.12109639666147,90.05760757110463,-400.0,3.0773092337300127
1739692532382,2,-3.381,-0.7153999999999999,2.6166,-123.139,-60.2908,57.5434,-126.0,-126.0,-139.0,38.26078666666667,140.85388633333332,0.0,17.115810553019422,0.0,137.808484877346,90.05748274891836,-400.0,4.334691882937009
1739692532490,2,-2.5284,0.5488,0.735,-124.5146,-18.5706,34.01,-129.0,-129.0,-140.0,38.26078666666667,140.85388633333332,0.0,17.115810553019422,0.0,137.808484877346,90.05748274891836,-400.0,2.689649233636237
1739692532558,2,-0.7545999999999999,0.7252,-0.1372,-124.5146,-55.7802,16.4692,-123.0,-123.0,-170.0,38.26078666666667,140.85388633333332,0.0,17.115810553019422,0.0,137.34164546219915,90.05748274891836,-400.0,1.0555377965757549
1739692532657,2,-3.6553999999999998,1.6562,1.47,-124.5146,-3.6024,-37.1868,-123.0,-123.0,-170.0,38.26078666666667,140.85388633333332,0.0,17.115810553019422,0.0,144.11315557507544,90.05748274891836,-400.0,4.273856291453891
1739692532758,2,-4.0278,-0.0392,0.3038,-124.5146,-62.2858,17.5522,-118.0,-118.0,-199.0,38.260788,140.85388516666666,0.0,17.115810553019422,0.0,149.33355025584783,90.05748274891836,-400.0,4.039431138167848
1739692532836,2,-3.871,0.0588,0.5292,-124.5146,83.5734,-5.6316,-118.0,-118.0,-232.0,38.260788,140.85388516666666,0.0,17.254569838840325,0.0,153.04116959683518,90.0656383306674,-400.0,3.907448154486506
1739692532978,2,-3.6946,-0.41159999999999997,-0.049,-124.5146,58.007,7.3492,-118.0,-118.0,-299.0,38.260788,140.85388516666666,0.0,17.254569838840325,0.0,156.47051794797756,90.0656383306674,-400.0,2.6406954235579687
1739692533057,2,-1.7444,-1.96,0.6272,-124.5146,-78.489,25.3194,-124.0,-124.0,-299.0,38.2607885,140.85388216666666,0.0,17.591492080601782,0.0,157.47544638433632,90.0656383306674,-400.0,3.7699951671056553
1739692533133,2,-3.381,0.0784,0.245,-124.5146,-43.9964,38.7372,-94.0,-94.0,-305.0,38.2607875,140.85388066666667,0.0,17.750998096521027,0.0,162.87087353016022,90.0675503438652,-400.0,3.3907716761822813
